,Date,xlb,xle,xlf,xli,xlk,xlp,xlu,xlv,xly
308,2014-03-31,46.163614,86.484059,21.870102,51.068833000000005,35.535682,41.679798999999996,39.704707,57.490654000000006,63.616755000000005
307,2014-04-01,46.417477000000005,86.998728,21.90926,51.429915,35.956049,41.612043,39.426984000000004,57.85433100000001,64.50141500000001
306,2014-04-02,46.759211,87.30948000000001,21.958209,51.790997,35.975602,41.66044,39.369526,58.109887,64.933909
305,2014-04-03,46.817796,87.872699,21.919048999999998,51.86907,35.799634000000005,41.708837,39.494023999999996,57.982110999999996,64.619364
304,2014-04-04,46.222198999999996,87.552249,21.703678,51.273771,35.115315,41.573325,39.704707,57.018852,63.547948
303,2014-04-07,45.548491999999996,86.085922,21.370829,50.541846,34.841588,41.612043,39.637671000000005,56.448763,62.309425
302,2014-04-08,45.724242,86.950179,21.400199,50.541846,35.154419,41.824989,40.202692,55.986792,62.938515
301,2014-04-09,46.417477000000005,87.348316,21.586201000000003,51.18594,35.623666,42.008902,40.116502000000004,57.185949,63.616755000000005
300,2014-04-10,45.489908,86.13447099999999,21.08693,50.171003000000006,34.802483,41.592684000000006,39.963277000000005,55.279097,62.034199
299,2014-04-11,44.943129,85.891702,20.832398,49.673296,34.411446999999995,41.379735,39.924969,54.75815,61.17903100000001
298,2014-04-14,45.304395,87.066711,20.998823,49.956303999999996,34.753603999999996,41.708837,40.164384999999996,55.062854,61.660676
297,2014-04-15,45.577783000000004,88.23200000000001,21.194615,50.307629,34.929572,41.815311,40.719831,55.652601000000004,61.739314
296,2014-04-16,46.251489,89.29046899999999,21.361039,51.078590000000005,35.271734,42.221847,41.016708,55.92782,62.60431
295,2014-04-17,46.397949,90.106177,21.400199,51.478709,35.222851,42.231528999999995,40.509144,55.917989,62.682947999999996
294,2014-04-21,46.407711,90.71795300000001,21.380619,51.625095,35.359714000000004,42.250888,40.461262,56.586371,62.850049
293,2014-04-22,46.573699,90.57229,21.527463,51.654371000000005,35.506355,42.231528999999995,40.518723,57.205608,63.390671999999995
292,2014-04-23,46.583461,91.04812199999999,21.576413,51.849552,35.125093,42.163773,40.537877,56.920562,63.095791000000006
291,2014-04-24,46.37842,91.07725400000001,21.566623,51.75196,35.398819,42.328322,40.815596,56.832099,63.439823
290,2014-04-25,46.046448,90.53345300000001,21.390409,51.244491,34.949125,42.3864,41.284852,56.409445999999996,62.358571999999995
289,2014-04-28,45.85117,90.688822,21.263142000000002,51.273771,35.281508,42.870374,41.485960999999996,56.743637,62.201299
288,2014-04-29,46.17338,91.106385,21.468726,51.410396,35.525908,42.686461,41.313581,57.077828000000004,62.486357
287,2014-04-30,46.544405,91.028697,21.498094000000002,51.75196,35.633444,42.821977000000004,41.380617,57.126973,62.751755
286,2014-05-01,46.251489,90.824772,21.537253,51.625095,35.672549,42.783258000000004,41.552997,57.254753,62.997489
285,2014-05-02,46.427239,91.009279,21.527463,51.547022,35.574787,42.783258000000004,40.700677,56.763296,63.154765000000005
284,2014-05-05,46.681102,91.436554,21.439356,51.654371000000005,35.760533,42.686461,41.06459,57.136804000000005,63.21374
283,2014-05-06,46.446767,91.572505,21.135877,51.26401,35.359714000000004,42.415438,40.863478,56.635516,62.309425
282,2014-05-07,46.80803,92.368787,21.419777,51.703165000000006,35.379265999999994,42.821977000000004,41.524268,56.792781999999995,62.230791
281,2014-05-08,46.622516999999995,91.04812199999999,21.478516,51.693408000000005,35.477028000000004,42.880052,41.074165,56.48808100000001,62.407722
280,2014-05-09,46.622516999999995,90.960722,21.468726,51.732440999999994,35.516133,43.08332,40.470837,56.832099,62.751755
279,2014-05-12,47.218115000000004,91.601636,21.684098000000002,52.503403000000006,35.995154,43.122038,40.097349,57.412018999999994,63.53811700000001
278,2014-05-13,47.257171,91.941511,21.664518,52.591234,36.014707,43.209154,40.193117,57.50048100000001,63.361185
277,2014-05-14,47.266933,91.980355,21.507884,52.200876,35.848513,42.976849,40.394226,57.539799,62.653461
276,2014-05-15,46.602989,90.931591,21.263142000000002,51.742202,35.633444,42.599346000000004,40.231421000000005,56.959879,62.201299
275,2014-05-16,46.768977,90.698534,21.292512,51.810515,35.858290999999994,42.860692,40.355918,57.156463,62.663289
274,2014-05-19,46.964252,90.980147,21.400199,52.015453,36.092912,42.773577,39.733439000000004,57.510309,62.948345999999994
273,2014-05-20,46.710392,90.71795300000001,21.272932,51.322565000000004,35.887617999999996,42.618706,39.733439000000004,57.146632,62.37823100000001
272,2014-05-21,46.925199,91.69874200000001,21.409988000000002,51.830033,36.132017,42.860692,39.762168,57.628261,63.13511
271,2014-05-22,47.032598,91.61134100000001,21.507884,51.927622,36.200449,42.792936,40.087773999999996,57.972280000000005,63.46931
